img,46865.png,18221.png,2415.png,46597.png,34628.png,20508.png,19130.png,45176.png,13153.png,12969.png,44664.png,17661.png,33364.png,24548.png,30605.png,8338.png,13769.png,40322.png,12158.png,9143.png,30849.png,18402.png,615.png,20070.png,27436.png,14012.png,3807.png,26586.png,47960.png,49845.png,34188.png,18580.png,20516.png,19898.png,31827.png,12674.png,33183.png,46190.png,16234.png,3095.png,20959.png,46776.png,31386.png,32273.png,45425.png,31693.png,1313.png,39884.png,1453.png,28050.png,26189.png,9197.png,46774.png,15697.png,40896.png,25655.png,47720.png,36456.png,30926.png,48561.png,5150.png,33779.png,27144.png,1253.png,18805.png,22693.png,8531.png,40393.png,48602.png,13303.png,27785.png,9147.png,8052.png,42891.png,18375.png,26336.png,6555.png,44766.png,4185.png,23330.png,19667.png,42268.png,30532.png,6047.png,10575.png,38605.png,13152.png,43716.png,18767.png,5518.png,18858.png,23876.png,35053.png,48318.png,36076.png,42864.png,32424.png,21353.png,6814.png,12180.png,4118.png,48692.png,34722.png,45959.png,19734.png,19429.png,6636.png,13011.png,45893.png,17990.png,20009.png,38262.png,3331.png,39933.png,32463.png,25336.png,14541.png,31804.png,31533.png,48463.png,11312.png,48464.png,20691.png,40437.png,42906.png,24050.png,49416.png,2015.png,45866.png,17685.png,5391.png,7886.png,4653.png,11964.png,32482.png,17392.png,37393.png,9040.png,31894.png,33922.png,31598.png,31000.png,883.png,19273.png,15231.png,32987.png,25676.png,33392.png,11632.png,11142.png,31599.png,21726.png,12063.png,24765.png,3429.png,48667.png,19350.png,41229.png,17949.png,32915.png,19467.png,4229.png,25214.png,36110.png,21761.png,47916.png,48923.png,19161.png,1545.png,34592.png,32319.png,39709.png,1675.png,45254.png,32928.png,47171.png,9525.png,34791.png,29067.png,18756.png,3920.png,29000.png,23042.png,19891.png,16067.png,34731.png,35017.png,5182.png,18988.png,30256.png,2070.png,19514.png,10553.png,14361.png,43277.png,41985.png,39676.png,30332.png,29913.png,19049.png,19019.png,28532.png,10302.png,48381.png,4504.png,2059.png,14818.png,49995.png,22506.png,38308.png,31496.png,36143.png,27615.png,33056.png,46701.png,18021.png,3514.png,47207.png,42168.png,26267.png,7095.png,29675.png,10725.png,6708.png,4368.png,15657.png,32387.png,49550.png,15842.png,14493.png,33369.png,34539.png,21250.png,46730.png,40823.png,47546.png,45463.png,46440.png,2432.png,20936.png,30112.png,1629.png,18807.png,8094.png,42720.png,35020.png,48899.png,25999.png,24203.png,11704.png,38825.png,1322.png,4123.png,20612.png,47578.png,21576.png,22486.png,22449.png,26073.png,39363.png,20882.png,19088.png,8225.png,11008.png,15061.png,46256.png,12732.png,16582.png,49100.png,41448.png,35007.png,11415.png,1090.png,49446.png,42664.png,45670.png,40791.png,45030.png,6714.png,17830.png,46237.png,45896.png,4380.png,30936.png,39396.png,40426.png,34367.png,16664.png,8423.png,42701.png,34668.png,48424.png,49572.png,46027.png,29240.png,32698.png,12835.png,8806.png,6025.png,38532.png,40642.png,41930.png,35037.png,34065.png,45941.png,26467.png,1117.png,21158.png,9210.png,8407.png,13418.png,46829.png,29082.png,30148.png,19629.png,34444.png,16625.png,19220.png,10415.png,27929.png,20538.png,28190.png,14457.png,19199.png,27719.png,33998.png,25986.png,34257.png,23255.png,34593.png,49067.png,37488.png,32013.png,22118.png,4330.png,18648.png,45814.png,30619.png,32739.png,16403.png,45855.png,15043.png,46034.png,43603.png,49596.png,10169.png,39190.png,33223.png,40546.png,43984.png,1814.png,34262.png,32583.png,14061.png,39188.png,20911.png,12381.png,33730.png,28544.png,31855.png,11461.png,28739.png,33191.png,28508.png,18658.png,47071.png,17102.png,24968.png,48966.png,44703.png,19204.png,594.png,19611.png,4622.png,35983.png,25193.png,33554.png,40566.png,38256.png,44744.png,42353.png,23296.png,45414.png,10514.png,1646.png,49940.png,49231.png,49140.png,27797.png,41639.png,1124.png,49913.png,20863.png,20129.png,12806.png,33229.png,1575.png,26388.png,24196.png,29498.png,17258.png,17394.png,14115.png,5067.png,5544.png,31022.png,21850.png,43378.png,46250.png,29076.png,35891.png,22674.png,49714.png,31448.png,43112.png,19413.png,15768.png,40453.png,21366.png,49701.png,23373.png,2153.png,28817.png,2318.png,32353.png,28810.png,31120.png,13654.png,25152.png,18864.png,1655.png,39216.png,38914.png,14831.png,31487.png,43574.png,16395.png,1053.png,12309.png,31756.png,35011.png,32946.png,9307.png,17551.png,21838.png,45040.png,3904.png,49850.png,9740.png,28072.png,42753.png,24775.png,1738.png,12418.png,19499.png,6855.png,45333.png,20080.png,49335.png,46062.png,21898.png,12607.png,33473.png,30312.png,18720.png,11582.png,1071.png,12977.png,21684.png,32586.png,18977.png,48449.png,35530.png,27450.png,18282.png,13734.png,30223.png,2240.png,36255.png,47500.png,30661.png,15014.png,23086.png,15020.png,37540.png,4682.png,983.png,33809.png,46475.png,18274.png,32214.png,37293.png,32269.png,44283.png,44546.png,39835.png,16039.png,1075.png,44661.png,34553.png
0,50,36,36,36,36,36,36,36,36,36,50,65,65,80,80,65,36,80,36,74,65,74,65,36,80,80,74,65,36,65,50,65,50,80,80,65,36,65,50,80,50,74,36,74,65,65,65,74,74,74,36,36,50,65,80,65,65,36,36,74,65,74,74,80,65,50,65,74,74,80,74,50,80,50,65,36,36,50,65,65,50,50,50,65,80,36,80,80,50,36,50,36,50,80,65,50,36,65,74,50,36,65,36,80,80,65,36,50,65,80,65,65,80,80,50,74,80,80,80,36,65,65,74,36,74,65,36,36,36,65,74,80,74,74,74,80,36,65,65,80,65,50,74,36,36,65,50,80,65,80,36,65,36,50,74,80,74,50,80,80,80,36,65,80,36,74,36,65,74,36,80,80,36,36,65,36,74,36,80,36,36,65,80,36,74,50,50,50,65,36,80,80,74,65,74,36,74,36,36,74,36,65,80,65,80,36,36,80,50,65,74,50,65,65,50,80,80,65,36,36,50,65,80,65,80,65,80,50,65,80,74,36,50,50,65,80,65,74,50,74,65,80,80,80,80,74,74,80,74,80,80,65,65,74,50,80,80,80,80,50,80,80,65,50,74,50,50,80,50,74,65,65,80,80,74,80,74,80,65,80,74,80,80,80,65,65,80,74,74,65,50,36,65,80,80,80,36,80,80,74,50,50,74,36,36,80,80,50,50,50,50,80,50,74,74,74,80,65,50,80,50,50,36,80,50,80,80,36,36,50,36,74,50,65,36,36,80,50,36,80,50,36,50,50,50,50,36,36,36,74,65,80,65,50,65,74,36,50,65,36,65,36,50,80,65,50,65,80,50,50,50,65,36,50,74,50,50,36,36,74,65,50,36,80,80,36,80,65,50,65,80,50,80,36,74,65,50,50,65,74,36,80,50,50,74,50,50,50,65,50,50,50,36,50,50,36,36,80,80,80,50,74,74,36,50,36,36,50,36,74,50,36,50,80,50,65,50,50,65,65,50,50,36,50,74,74,65,74,36,36,36,65,50,36,50,50,36,50,74,50,36,50,74,74,65,50,36,50,50,36,65,65,80,36,80,50,65,50,50,80,65,36,74,65,36,50,65,65,65,36,36,65,36,65,50,36,65,74,50,80
1,74,36,36,36,36,36,36,36,36,36,50,65,65,50,65,65,36,80,80,50,74,74,65,36,80,80,65,65,36,65,74,65,50,80,80,65,36,36,74,80,50,74,65,74,65,65,65,50,65,74,36,36,74,36,80,65,65,36,74,74,65,74,74,80,65,74,65,80,74,80,74,50,80,50,65,36,36,36,65,65,74,74,65,80,80,65,74,80,50,36,74,36,74,80,65,74,36,65,74,50,36,65,36,80,74,80,36,36,65,80,65,65,80,80,74,80,50,80,80,36,65,65,74,36,80,65,36,36,36,65,74,80,74,50,74,74,74,65,65,80,36,74,74,36,36,65,74,80,65,80,36,65,36,50,50,50,50,74,80,80,80,50,65,74,36,74,36,65,65,36,80,74,36,36,65,36,74,36,65,36,36,65,80,36,74,50,74,50,65,36,74,36,74,65,50,74,74,36,36,74,36,65,50,36,36,36,50,80,36,65,80,50,65,65,65,80,80,65,36,36,50,65,80,65,74,65,80,50,65,80,74,36,74,74,80,65,65,36,74,74,80,80,80,80,80,74,74,80,36,80,80,80,65,74,74,74,80,80,80,50,80,80,65,74,74,50,74,80,74,80,65,65,80,50,65,80,74,80,65,74,74,80,80,80,65,65,80,74,74,65,50,36,65,80,80,80,36,80,80,74,74,50,74,36,50,80,50,50,74,74,74,80,74,80,74,50,80,65,74,65,50,74,36,50,50,80,80,36,36,74,36,74,74,65,36,36,80,74,36,80,36,36,74,50,74,74,36,36,50,50,65,80,65,36,65,50,36,74,65,36,65,36,50,80,65,74,36,80,50,74,36,65,74,50,36,50,74,36,74,74,65,50,36,80,80,36,50,65,74,74,80,50,74,50,74,65,36,50,65,74,36,80,50,74,74,74,74,36,65,50,74,50,36,50,50,36,74,80,50,50,36,74,74,36,50,36,36,74,36,50,50,36,50,36,74,65,36,36,65,65,74,50,36,74,74,74,65,74,36,50,36,65,65,36,74,50,36,74,74,36,36,50,74,36,65,36,36,74,74,36,65,65,74,36,74,74,65,74,50,50,65,36,74,65,36,50,65,36,65,36,36,65,36,65,36,36,65,74,50,80
2,74,36,36,36,36,36,36,36,36,36,50,65,74,80,65,65,36,80,80,36,80,36,65,36,80,80,65,65,36,65,74,65,50,80,80,65,36,65,74,65,50,74,36,36,65,65,65,36,65,74,36,36,50,36,80,65,65,36,74,65,65,36,74,80,65,50,65,80,74,80,36,50,80,50,50,36,36,36,65,65,65,50,50,80,80,80,80,80,74,36,36,36,74,74,65,74,36,65,50,36,36,74,36,80,65,65,36,50,65,80,65,65,80,80,50,74,65,80,80,36,65,65,80,36,50,65,36,36,36,65,50,80,50,50,74,65,50,65,65,80,36,50,74,36,36,65,50,80,74,80,36,65,36,50,65,80,74,50,80,80,80,36,65,50,36,50,36,65,50,36,80,36,36,80,65,36,36,36,65,36,36,65,80,36,36,50,36,50,65,36,36,36,50,65,36,36,74,36,36,50,36,80,50,36,65,36,36,80,36,65,50,50,65,65,65,80,36,65,36,36,80,65,80,65,50,65,80,50,65,50,80,36,74,74,80,80,65,80,50,74,80,80,80,80,80,74,80,80,65,80,80,50,65,74,80,80,80,80,80,50,80,80,65,50,74,50,80,80,50,80,65,65,80,80,74,80,74,80,65,74,74,80,80,80,65,65,80,74,50,65,74,36,65,80,80,80,36,80,80,74,50,50,74,36,36,80,36,50,50,80,50,80,50,80,80,50,80,65,50,80,50,80,50,80,74,80,80,36,36,36,36,74,74,65,36,36,80,80,36,65,36,36,36,50,74,74,36,36,74,74,65,80,65,74,65,50,36,80,65,36,65,36,50,80,65,36,36,80,50,80,36,65,36,50,80,50,50,36,36,36,36,50,65,80,80,36,80,65,50,50,80,36,50,50,80,65,36,50,65,74,36,80,50,80,65,36,50,36,65,36,80,50,36,36,50,36,36,80,80,80,36,50,50,36,80,36,36,36,36,36,50,36,50,36,50,65,74,36,65,65,50,50,36,36,74,74,65,74,36,74,36,65,65,36,80,50,36,74,74,36,36,74,74,36,65,36,36,36,80,36,65,65,80,36,50,50,65,50,36,50,65,36,36,65,36,36,65,36,65,36,36,65,80,65,36,36,65,36,36,80
3,50,36,36,36,36,36,36,36,36,36,50,65,80,65,65,65,36,80,80,74,74,36,65,36,36,80,36,65,36,65,74,65,50,74,80,65,36,36,74,36,50,74,36,36,65,65,65,74,80,74,36,36,50,36,80,65,65,36,74,50,65,36,74,80,65,50,65,74,74,80,36,36,80,36,65,36,36,36,65,36,74,50,65,80,80,36,36,65,50,36,65,36,50,74,65,74,36,65,50,36,36,74,36,80,65,65,36,50,36,80,65,36,65,80,74,36,50,80,80,36,65,65,50,36,74,65,36,36,36,65,50,80,36,50,74,36,36,65,65,80,36,36,74,36,36,65,50,80,36,80,36,65,36,36,36,80,36,50,80,80,36,65,36,50,36,74,36,65,74,36,80,50,36,80,80,36,50,36,65,36,36,65,80,36,74,50,36,50,65,50,74,36,50,65,36,36,50,36,36,36,36,65,50,65,74,36,36,65,36,65,50,50,65,65,65,74,80,65,36,36,74,65,80,36,50,36,80,50,36,65,50,36,74,74,80,36,36,80,80,74,80,80,80,80,80,50,50,80,74,80,80,65,65,80,50,80,80,36,36,50,80,80,36,50,74,50,65,80,50,65,65,65,80,80,74,80,74,80,65,65,74,80,80,80,65,65,80,74,50,65,74,36,65,65,80,80,36,36,80,74,74,50,74,36,36,80,74,50,50,50,50,80,50,65,36,50,80,65,50,36,74,50,36,65,50,65,80,36,36,50,36,74,50,65,36,36,36,50,36,74,36,36,36,65,50,50,36,36,50,36,65,80,65,74,65,74,36,50,65,36,65,36,50,80,65,36,36,65,50,50,36,65,36,50,50,50,74,36,74,50,36,50,36,80,80,36,65,65,50,50,80,50,50,50,50,65,50,50,65,74,36,80,50,36,36,50,74,36,65,74,50,50,36,74,50,36,36,50,65,80,36,74,50,36,65,36,36,50,36,36,50,36,50,80,65,65,80,50,65,65,74,50,36,50,50,74,65,50,36,80,36,65,65,36,50,50,36,50,74,80,36,74,50,74,65,50,36,50,50,36,65,65,74,36,50,50,65,50,50,50,65,36,50,65,36,50,65,36,65,36,36,65,36,65,36,36,65,74,50,80
4,74,36,36,65,36,36,36,36,36,36,50,65,50,80,65,65,36,80,36,74,74,50,65,36,80,65,50,65,36,65,74,65,74,80,80,65,36,65,74,80,74,50,36,36,65,65,65,74,65,50,36,36,50,36,80,65,65,50,74,74,65,36,36,65,65,74,65,80,65,80,36,50,80,50,65,36,36,36,65,65,65,74,50,65,80,80,50,50,74,36,50,36,74,50,36,50,36,36,50,50,36,50,36,80,65,65,36,65,65,80,65,65,80,80,74,80,65,80,80,50,65,65,50,36,65,65,36,36,36,65,65,80,80,50,74,50,50,65,65,80,36,74,50,36,36,65,50,80,50,65,36,65,36,50,50,80,74,74,80,50,80,50,65,50,36,80,36,65,80,36,80,50,50,65,80,36,50,36,50,50,36,65,80,50,36,50,74,50,65,36,50,74,80,65,80,36,80,36,36,50,36,65,80,36,65,36,36,80,36,65,36,50,65,50,65,80,50,65,36,50,50,65,80,65,50,65,80,50,36,65,50,36,80,74,80,50,65,50,50,74,80,80,80,80,80,50,36,80,36,80,80,65,65,74,50,80,80,80,36,50,80,80,80,74,50,80,80,80,50,74,65,65,80,80,50,80,80,80,50,36,74,80,80,36,50,65,80,74,74,65,80,50,65,80,74,80,36,50,80,74,50,50,74,36,36,80,80,50,50,74,74,80,65,50,65,50,80,65,74,80,50,50,50,50,50,80,80,36,36,74,50,74,80,65,36,36,80,50,36,50,36,36,36,65,50,50,36,36,36,50,65,80,36,50,65,74,36,50,65,36,65,36,74,80,65,80,36,80,50,80,50,65,50,50,74,65,50,36,50,74,65,50,36,80,80,36,80,65,50,50,80,50,80,50,74,65,50,50,65,74,36,80,50,65,36,50,80,36,65,36,65,50,36,80,74,36,50,80,80,36,36,50,50,36,50,50,36,50,36,36,50,36,74,36,50,65,36,50,65,50,50,50,36,50,50,50,65,74,36,36,36,65,65,36,65,50,36,50,74,36,36,50,50,36,65,36,36,50,50,36,65,65,50,36,74,80,65,50,50,50,80,36,36,80,36,50,65,50,65,36,36,65,50,65,36,36,65,50,50,80
5,74,36,36,36,36,36,36,36,36,36,50,65,65,50,80,65,36,80,36,36,65,36,65,36,80,80,65,65,36,65,74,65,50,80,65,65,50,65,74,80,50,65,65,50,65,65,65,74,65,74,36,36,50,36,80,65,65,36,50,80,65,36,74,80,65,50,65,80,74,80,36,50,80,50,65,36,36,36,65,65,65,50,50,80,80,36,36,80,50,36,36,36,50,74,74,74,36,65,65,36,36,50,36,80,80,65,36,36,65,80,65,65,80,80,50,74,80,80,80,36,65,65,50,36,65,65,36,50,36,65,74,80,74,50,74,80,50,65,65,80,65,50,74,36,36,65,50,80,36,80,36,65,36,50,65,80,74,50,80,80,80,36,65,50,36,80,36,65,65,36,80,50,36,65,65,36,36,36,65,36,36,65,80,36,74,50,36,50,65,36,36,36,74,65,80,36,74,36,36,50,36,65,80,65,36,36,36,65,36,65,74,50,65,65,65,80,80,65,36,36,50,65,80,65,50,65,80,50,65,80,80,36,74,50,80,36,65,36,80,74,80,80,80,80,80,74,80,80,65,65,80,65,65,50,80,80,80,80,80,50,80,80,65,50,74,50,50,80,50,80,65,65,80,80,65,80,74,80,65,80,74,80,80,80,65,65,80,50,50,65,50,36,65,80,80,80,36,80,80,74,50,50,50,36,36,80,36,50,50,50,50,80,50,80,50,50,80,65,50,65,50,65,36,80,36,80,80,36,36,74,36,74,50,65,36,36,80,50,36,80,36,36,36,50,74,50,36,36,50,50,65,80,65,50,65,74,50,80,65,50,80,36,50,80,65,50,65,80,50,74,50,65,36,50,36,50,36,50,36,50,36,50,50,80,80,36,50,65,50,50,80,50,74,50,74,65,50,50,65,50,36,80,50,36,80,50,65,36,65,50,50,50,36,50,50,36,50,80,80,80,50,74,50,36,50,36,36,36,36,50,50,50,50,36,74,65,36,50,65,80,50,50,36,50,50,50,65,50,36,36,36,65,80,36,50,50,36,50,74,50,36,80,50,50,65,50,36,50,50,36,65,65,50,36,80,50,65,50,50,80,65,36,65,65,36,50,65,36,65,36,36,65,36,65,36,36,65,74,50,80
6,74,36,36,65,36,36,36,36,36,36,74,65,80,50,65,65,36,80,80,36,65,36,65,36,80,80,65,65,36,65,50,65,50,80,80,65,36,65,74,80,74,74,65,50,65,65,65,74,65,50,36,80,65,36,80,65,65,36,36,74,65,36,80,80,65,50,65,80,74,80,36,50,80,50,80,36,36,36,65,65,65,50,50,80,80,36,80,80,50,50,65,36,74,50,36,50,36,50,74,50,36,65,36,65,65,80,36,36,65,80,65,65,65,80,74,50,50,80,80,50,65,65,80,36,50,65,36,36,36,65,80,80,74,80,36,80,50,65,65,80,36,50,74,36,36,65,50,80,65,80,36,65,36,50,65,80,74,50,80,80,80,36,65,36,36,50,36,65,80,36,80,50,36,80,65,36,36,36,65,36,36,65,80,36,80,50,74,50,65,36,36,36,50,65,80,36,80,80,36,36,36,65,80,36,65,36,65,80,36,65,50,50,80,65,65,80,80,65,36,36,36,65,80,65,50,36,80,50,65,65,74,36,50,50,80,36,65,80,65,74,80,80,80,80,80,80,80,80,36,80,80,80,65,80,80,80,80,80,80,74,80,80,65,74,50,50,50,80,50,80,65,65,80,50,80,80,50,80,36,80,74,80,80,80,65,65,80,50,74,65,36,36,65,65,80,80,36,36,80,50,50,50,50,36,36,80,80,50,50,50,50,80,50,80,65,65,80,65,50,36,65,50,36,36,50,65,80,36,36,74,50,50,65,65,36,36,36,36,36,80,36,36,36,50,74,50,36,36,36,36,65,80,36,50,80,74,36,50,65,36,65,36,74,80,65,36,36,80,50,65,36,65,50,50,50,80,80,36,36,50,36,50,36,80,80,36,50,65,65,50,80,50,50,50,80,65,36,50,65,50,36,80,36,80,80,50,65,36,65,50,50,74,36,74,50,36,36,65,80,80,36,80,74,36,80,36,36,36,36,36,50,36,36,36,65,65,36,36,65,65,50,50,36,50,74,74,65,80,36,50,36,65,65,36,80,50,36,50,50,50,36,80,80,36,65,65,36,74,65,36,65,65,50,36,50,50,65,50,50,80,36,36,80,65,36,50,65,65,65,36,36,65,36,65,36,36,65,50,36,80
7,50,36,36,36,36,36,36,36,36,36,50,65,65,80,65,65,36,80,80,36,65,36,65,36,80,80,65,65,36,65,74,65,50,80,80,65,36,65,74,80,36,80,65,36,65,65,65,36,65,74,36,36,50,36,80,65,65,36,80,80,65,36,74,80,65,50,65,80,74,80,36,50,80,50,80,36,36,36,65,65,74,50,50,80,80,50,50,80,80,36,50,36,74,80,65,50,36,80,80,36,36,74,36,80,80,65,36,50,65,80,65,65,80,80,74,50,80,80,80,36,65,65,36,36,65,65,36,36,36,65,80,80,50,50,74,80,50,65,65,80,65,50,74,36,36,65,50,80,36,80,36,65,36,50,80,80,74,50,80,80,80,36,65,50,36,74,36,65,65,36,80,50,36,80,65,36,50,36,65,36,36,65,80,36,74,50,50,50,65,36,80,36,50,65,80,36,50,36,36,50,36,65,80,65,65,36,36,80,36,65,50,50,65,65,65,80,80,65,36,36,65,65,80,65,50,65,80,50,65,50,50,36,74,74,80,80,65,50,50,74,80,80,80,80,80,74,80,80,80,80,80,80,65,74,50,80,80,80,80,50,80,80,65,50,50,50,50,80,50,50,65,65,80,80,65,80,74,80,65,80,74,80,80,80,65,65,80,74,50,65,80,36,65,80,80,80,36,80,80,65,80,50,74,36,50,80,80,50,50,74,50,80,36,80,50,50,80,65,50,65,80,65,36,65,50,65,80,36,36,50,36,74,50,65,36,36,80,74,36,65,36,36,36,65,74,50,36,36,50,65,65,80,65,36,80,74,36,50,65,36,65,36,50,80,65,50,65,80,50,65,36,65,50,50,50,50,80,36,50,50,65,50,65,80,80,36,80,65,50,65,80,50,50,50,74,65,50,50,65,74,36,80,50,50,74,50,74,36,65,50,36,74,36,50,50,36,36,65,65,65,36,74,50,36,50,36,50,50,36,50,50,36,50,36,74,65,50,50,65,65,50,50,36,50,74,74,65,74,36,50,36,65,65,36,50,50,36,65,74,50,36,65,74,50,65,50,36,50,65,36,65,65,50,36,50,50,65,50,50,74,65,36,74,65,36,50,65,65,65,36,36,65,65,65,36,36,65,74,50,80
8,50,36,36,65,36,80,36,36,36,65,50,65,80,80,65,65,36,80,74,36,65,74,65,36,80,80,74,65,36,65,50,65,50,80,65,65,50,36,50,80,50,65,36,50,65,65,65,80,74,50,36,36,50,36,80,74,65,36,74,74,65,36,74,80,65,50,65,74,50,74,74,50,80,50,50,36,36,50,65,65,74,50,50,74,74,50,50,74,50,50,50,36,50,74,74,50,36,74,74,50,36,65,36,74,74,74,36,50,65,80,65,36,74,80,50,50,50,80,80,50,65,65,50,36,74,65,36,36,36,65,74,80,50,50,74,50,50,74,65,80,50,50,50,36,36,74,50,80,50,80,36,65,36,50,50,74,74,74,80,50,80,50,65,50,36,50,36,65,74,36,65,50,50,80,50,36,74,36,50,36,36,65,80,50,50,50,74,50,65,36,74,74,50,65,74,65,74,36,36,50,36,74,80,36,65,36,36,74,36,65,74,50,65,65,65,80,80,65,36,36,50,65,80,80,74,36,80,50,65,80,80,36,74,50,80,74,65,80,80,50,80,80,80,80,80,80,74,80,74,80,74,80,65,80,74,80,80,36,80,50,80,80,36,50,74,74,74,80,50,74,65,65,80,50,74,80,80,80,65,50,74,80,80,80,50,65,80,50,74,65,50,36,65,80,80,80,36,74,80,74,50,50,74,36,74,80,74,50,50,50,50,80,50,80,65,74,80,65,50,74,74,74,36,36,50,74,80,36,36,50,36,74,74,65,36,36,36,80,36,74,36,36,36,65,74,50,65,36,36,50,65,50,65,50,65,50,36,50,65,36,65,36,50,80,65,36,65,80,50,74,36,65,50,50,50,50,74,36,36,50,65,50,36,74,80,36,50,65,50,50,80,50,50,50,50,65,36,50,65,50,36,80,50,80,74,50,50,36,65,80,50,50,36,74,50,36,36,50,80,80,80,50,74,36,50,36,50,50,36,36,50,36,50,74,65,65,50,50,65,65,50,50,36,50,50,50,80,80,36,50,50,65,74,36,80,50,36,36,74,36,36,36,50,74,36,50,36,50,74,36,65,65,50,36,50,74,65,50,50,50,65,36,74,65,36,50,65,50,65,36,36,65,36,65,36,36,65,74,50,80
9,50,36,36,36,36,36,36,36,36,36,50,65,65,74,65,65,36,80,80,50,65,50,65,36,80,50,50,65,36,65,74,65,50,80,80,65,36,36,74,80,50,50,36,36,65,65,65,50,74,74,36,36,50,36,80,65,65,36,50,74,65,36,50,80,65,74,65,80,74,80,80,50,80,50,80,36,36,36,65,36,65,50,50,80,74,36,65,80,50,36,50,36,74,80,74,74,36,65,50,36,36,65,36,80,65,74,36,50,65,80,65,65,80,80,74,50,65,80,80,36,65,65,74,36,65,65,36,36,36,65,74,80,50,50,74,50,65,65,65,80,36,50,80,36,36,65,50,80,65,80,36,65,36,50,65,80,80,50,80,80,36,36,65,80,36,65,36,65,80,36,80,50,36,50,80,36,36,36,65,36,65,65,80,36,74,50,50,50,65,50,50,80,50,65,36,36,80,36,36,50,36,65,80,65,65,36,36,50,36,65,80,65,65,65,65,80,80,65,36,36,74,65,80,80,50,80,80,50,65,80,65,36,74,74,65,65,65,65,65,74,65,80,80,80,80,80,80,80,65,80,80,80,65,50,65,65,80,65,80,50,80,80,65,50,80,80,65,80,65,80,65,65,80,80,74,80,65,80,65,80,74,80,80,80,65,65,80,74,50,65,50,36,65,80,80,80,36,65,80,74,80,80,80,36,50,80,65,74,65,74,50,80,50,80,65,74,80,65,50,80,65,65,50,80,50,80,80,36,36,74,36,74,65,65,80,36,36,50,36,65,50,65,36,50,74,50,36,36,50,80,80,80,65,50,65,74,36,65,65,36,80,36,50,80,65,65,65,80,50,65,36,65,36,50,50,74,74,65,65,50,65,65,65,80,80,65,50,65,65,80,80,50,50,50,74,65,36,50,65,74,36,80,65,65,80,80,65,36,65,50,36,74,36,50,50,36,65,65,74,80,36,65,50,36,80,36,36,50,36,36,50,36,50,36,74,65,80,36,65,65,50,65,65,50,74,74,65,74,36,65,36,65,80,36,65,50,36,80,74,36,36,65,74,80,65,74,36,50,65,36,65,65,80,36,80,65,65,65,36,80,65,36,74,65,36,50,65,80,65,36,36,65,65,65,36,36,65,74,36,80
10,50,36,36,36,36,36,36,36,36,36,50,65,80,80,65,65,36,80,80,36,65,36,65,36,80,80,65,65,36,65,74,65,50,80,80,65,36,65,74,80,50,74,65,50,65,65,65,50,74,50,36,36,50,36,80,65,65,36,74,50,65,36,74,80,65,50,65,80,74,80,50,50,80,74,65,36,36,50,65,65,74,74,50,80,80,50,50,80,50,36,50,36,74,80,80,74,36,65,50,50,36,80,36,80,65,65,36,50,65,80,65,65,80,80,74,80,80,80,80,50,65,65,50,36,80,65,36,36,36,65,74,80,80,50,74,80,50,65,65,80,50,74,74,36,36,65,50,80,50,80,36,65,36,50,50,80,80,50,80,80,80,36,65,80,36,50,36,36,50,36,80,74,36,80,65,36,50,36,65,36,36,65,80,36,50,50,50,50,65,50,74,36,50,65,80,36,74,36,36,74,36,80,80,65,65,36,36,80,36,65,50,50,65,65,65,80,80,65,36,36,80,65,80,65,74,65,80,50,65,80,80,36,50,74,80,50,65,50,50,74,80,80,80,80,80,74,80,80,50,80,80,65,65,50,50,65,80,80,80,50,80,80,80,50,74,50,80,80,50,80,65,65,80,80,65,80,74,80,50,80,74,80,80,80,65,65,80,74,50,65,50,36,65,80,80,80,36,80,80,50,50,50,80,36,36,80,50,74,36,50,74,80,50,80,80,50,80,65,50,80,50,50,36,50,74,65,80,36,36,50,36,74,50,65,36,36,80,50,36,80,36,36,36,50,74,50,36,36,50,50,65,80,36,50,65,74,36,74,65,36,65,36,50,80,65,50,50,80,50,50,50,65,36,50,50,50,50,36,50,50,65,50,80,80,80,36,50,65,50,50,80,50,50,50,50,65,50,50,65,74,50,80,50,50,80,50,50,50,65,80,50,50,36,50,50,36,36,80,80,65,50,74,74,36,50,36,36,50,36,50,50,36,50,80,74,65,50,50,65,65,50,50,36,50,50,50,65,74,36,50,50,65,65,36,50,50,36,50,74,50,36,80,80,80,65,65,36,50,50,36,65,65,50,36,50,74,65,65,50,50,80,36,50,65,36,50,65,50,65,36,36,65,50,65,36,36,65,50,50,80
